-1782	-2997	-3128	-417	1786	819	-1221	-1435	-663	-733	4	2801	4152	2481	1557	2405	1277	-1669	-2364	-462	940	585	-49	188	-130	-1887	-2130	485	1953	463	-713	-758	-1269	-862	938	1182	107	590	1527	597	-672	-638	-155	495	1529	1715	473	-634	-350	513	109	-2038	-3775	-3109	-1189	-382	-871	-1228	-1050	-1061	-1340	-1094	-187	383	10	-450	427	2974	5552	6024	3934	1213	412	2229	4389	4511	3134	624	-4002	-7743	-5557	-1069	-2027	-5474	-3379	1331	1363	-792	47	1550	677	-127	815	1001	-1172	-3197	-2252	-182	-995	-4116	-4490	256	6719	9693	7309	2247	-1666	-2649	-1367	478	813	-1148	-3182	-2383	607	2427	1602	-46	-332	822	1790	1147	-548	-1394	-932	-507	-298	736	1601	546	-1331	-2329	-2814
-1346	-2052	-3500	-449	3178	1960	-1578	-2450	-1211	-565	543	3183	3990	1851	883	2023	1347	-1098	-1748	-330	1006	1082	90	-488	-312	-1092	-1960	-372	1527	409	-1482	-1308	-415	123	597	153	-688	234	2125	2141	180	-1534	-1288	656	2085	1619	593	144	-561	-1708	-2085	-1427	-855	-1235	-2155	-2375	-1538	-759	-900	-964	-12	653	-277	-1237	-339	1219	1848	2757	4807	5781	3955	1385	1007	2717	3725	2785	1600	98	-3815	-7480	-5841	-1998	-2313	-3955	-1465	1482	468	-759	674	1628	838	455	347	-708	-1718	-1536	-1230	-2076	-3483	-3905	-2047	2892	9151	10872	4895	-2859	-4303	-178	2343	472	-2205	-2685	-1714	-607	840	2085	1396	-369	-64	2037	2238	-133	-2059	-1794	-404	406	358	451	794	219	-1483	-3120	-3336
-1447	-2581	-2654	807	2555	529	-1645	-1731	-612	193	810	2421	3486	2128	1193	2453	1788	-1844	-3349	-1147	1153	1610	698	-422	-529	-464	-1383	-1479	-106	97	-958	-736	417	869	869	636	219	485	1009	540	-310	-594	-593	-101	1161	2018	1525	85	-1551	-2284	-1499	-636	-1182	-2057	-2100	-1939	-1665	-714	-226	-780	-536	504	-71	-1178	432	2919	2358	1123	3590	6477	3948	-872	-383	4523	6063	2912	586	-635	-4230	-6792	-3958	-1086	-3275	-5126	-2168	767	327	-239	820	1644	1334	230	-1058	-1150	-224	-621	-2884	-4210	-2996	-1136	834	5587	11281	9558	-446	-7221	-3322	3203	2779	-2085	-3912	-2051	-212	558	1291	1443	352	-293	826	1860	852	-1210	-2160	-1153	579	853	-90	159	1211	326	-2048	-3037	-1770
-2967	-1196	-328	1259	958	-1732	-2365	5	1483	758	371	1502	2633	2699	2462	1966	-136	-2767	-2640	139	2055	1788	531	-1057	-2297	-1950	-356	892	1074	40	-1753	-2243	-171	2088	1841	229	-268	414	892	625	-59	-675	-710	173	1437	1635	279	-974	-855	-724	-1688	-2209	-1169	-194	-726	-1657	-1395	-637	-1067	-1664	-369	985	-258	-1526	348	2474	2013	2298	5189	5669	1346	-1698	988	4923	4836	2446	878	-1466	-4930	-5246	-2064	-1248	-3968	-4488	-1429	389	-572	-872	976	2455	1333	-1333	-2415	-757	763	-1138	-4690	-4927	-1562	935	2976	8734	12910	5551	-6768	-7278	2993	6621	-586	-6051	-3580	298	888	301	467	460	-132	-107	969	1709	663	-1697	-2822	-841	1941	1475	-1196	-1381	737	752	-1748	-2799	-648
-3178	-1582	-221	1433	656	-2301	-2344	543	1114	-531	126	2672	3591	2936	2559	2002	39	-2142	-1994	351	1572	598	6	-7	-1598	-2789	-661	1669	675	-1136	-1106	-392	320	1051	485	-697	-100	1343	1149	-21	-615	-849	-762	144	1251	1453	513	-573	-574	-224	-1138	-2258	-1688	-753	-1181	-1639	-1035	-738	-1191	-894	257	773	482	304	193	35	1191	4117	5752	3364	-235	122	3651	4918	3355	2789	2108	-2491	-7135	-5501	-1321	-1932	-4656	-3058	143	-678	-2813	-944	2689	2765	-280	-2201	-1255	401	-354	-3736	-5626	-3334	-425	989	5961	13859	12127	-1802	-9979	-1770	7742	3580	-5589	-5687	410	2635	441	-626	202	-217	-1636	-1008	1400	2100	-51	-2486	-2083	1082	2721	91	-2538	-851	1464	-34	-2510	-1915	476
-2066	-1139	-749	664	-141	-2095	-770	1630	913	-610	296	2076	2904	3054	2442	970	-441	-1256	-1463	-550	1110	1919	1283	-265	-2195	-2870	-871	1433	911	-1013	-1374	-314	925	1773	1103	-851	-1469	41	1239	612	-630	-1029	-472	372	975	1118	520	-502	-738	-311	-897	-2204	-2116	-895	-522	-866	-877	-1018	-1254	-370	865	480	-574	-75	1136	1283	1785	4007	5001	2266	-610	905	4456	4837	2805	1770	305	-3803	-6457	-3927	-922	-2399	-4543	-2786	-551	-1498	-1955	1209	3593	1319	-2166	-2057	492	873	-2361	-5282	-3985	-941	-156	2287	10468	14527	4339	-8881	-6920	5043	7552	-1408	-7102	-3289	2203	2570	-180	-1054	370	543	-1190	-1285	1153	2091	-688	-3548	-2192	1785	2683	-631	-2495	-209	1472	-245	-1485	98	1302
-2325	-976	-534	603	234	-1326	-552	1405	1094	-71	629	1948	2160	1966	1982	1635	678	-701	-1756	-1041	1123	2027	521	-1596	-2616	-1915	296	1793	681	-1215	-1413	-311	957	1741	846	-1141	-1274	803	1931	633	-1138	-1258	70	860	298	86	777	312	-1372	-1744	-739	-588	-1395	-1832	-1617	-1074	-739	-888	-577	406	258	-1042	-818	1143	1977	1368	2137	4613	5087	1907	-825	1037	4676	4924	2673	1214	-777	-4711	-6380	-3462	-1045	-2711	-4116	-2211	-993	-2239	-1278	2720	3434	-773	-3404	-1065	1290	-835	-4632	-4847	-1838	-92	1054	6962	14247	10664	-3138	-9604	-776	8632	4887	-4813	-7139	-1634	2835	1716	-1338	-1490	390	504	-738	-95	1699	937	-2262	-3515	-857	2075	1163	-2076	-2703	-253	1082	33	-331	955	1148
-1136	116	-697	-90	765	-956	-2002	657	2616	604	-1082	657	2906	3268	2412	1025	-426	-1290	-1139	356	1856	1065	-905	-1509	-1726	-2201	-648	1788	1324	-729	-1079	-480	215	1536	1524	-530	-861	1636	2793	715	-1820	-2244	-801	613	789	514	237	-715	-1331	-465	-146	-1654	-2520	-1608	-997	-1224	-973	-225	206	-142	-1208	-1425	249	1748	1567	1773	3631	5041	4199	1723	-217	714	3607	4605	2805	369	-2341	-5104	-5040	-2265	-1121	-2260	-2416	-2141	-3334	-2810	1290	3473	441	-2591	-1363	539	-558	-2467	-2440	-2054	-3155	-2647	3825	12783	13542	2938	-7413	-5428	4380	8011	1254	-6415	-5905	241	2985	28	-2171	-301	1013	-866	-1676	897	2624	218	-3369	-3461	57	2413	330	-2888	-2225	957	1854	439	59	783	234
902	-903	-1455	123	480	-614	-560	892	873	-1148	-1241	1907	3856	2444	795	403	-164	-1004	-979	297	1797	1491	-485	-1564	-1530	-1733	-777	1564	1755	-493	-1415	-312	887	1606	1006	-891	-905	1627	2496	361	-1389	-1134	-465	-306	-219	198	395	-311	-920	-630	-1141	-2678	-2410	-416	-73	-1197	-961	246	392	-433	-1105	-799	374	947	800	2046	4558	5298	3342	847	96	1857	4015	3628	1552	-140	-2682	-5623	-4952	-1798	-1465	-2885	-2191	-1825	-3280	-1744	2689	3208	-210	-1432	-117	-343	-2099	-2936	-2737	-2850	-3095	-217	7674	13991	9602	-1690	-6608	-653	6544	5443	-2323	-7567	-4288	2526	3639	-860	-2470	579	1376	-1724	-2224	1477	2603	-1788	-5177	-2457	2213	2408	-1300	-3265	-1331	1278	1742	1111	856	260	-1170
-422	-1083	-1097	832	2214	252	-1994	-682	808	-701	-751	2749	4337	1964	-53	69	385	-389	-1583	-836	2012	2621	-176	-1784	-1382	-1719	-942	1816	1730	-1391	-2009	69	1254	1565	1332	-105	-777	355	957	405	-77	-778	-1328	-350	1074	1224	384	-840	-1937	-2144	-2007	-1948	-981	140	-545	-1668	-854	603	595	-268	-815	-816	-300	559	1902	3812	4935	4138	2362	909	691	2500	4559	3878	1185	-1477	-4542	-6367	-3844	-406	-1321	-3620	-3114	-2459	-2327	676	3550	1175	-2439	-1869	-132	-961	-2412	-2616	-2948	-3899	-2450	4581	13164	13194	2964	-5626	-3844	3146	6296	2918	-3648	-6871	-2707	3065	2551	-1482	-1425	1283	552	-2133	-1452	1335	1085	-2162	-3664	-1513	1386	1588	-961	-2701	-1095	1522	1787	657	464	391	-900
